Memoir, Tag Name, Attribute Name, Attribute Value, Tag Contents
anderson_anna_rosina,name,emotion,,allarm and apprehension,
anderson_anna_rosina,name,emotion,,blessed solemnity,
anderson_anna_rosina,name,emotion,,The feeling of the peace ,
clark_elizabeth,name,event,baptism,baptiz&apos;d,
clark_elizabeth,name,event,religious,Soceity meetings,
faucet_martha,name,event,baptism,Baptized,
faucet_martha,name,occupation,labouress,Labrous,
faucet_martha,name,occupation,labouress,Labroures,
faucet_martha,name,occupation,labouress,Labrous,
peel_mary,name,event,religious,Decenters meetings,
peel_mary,name,event,sacrament,Holy Sacrement,
gray_timothy,name,occupation,clothmaker,cloth maker,
gray_timothy,name,event,reception,to become a member,
gray_timothy,name,event,reception,received,
gray_timothy,name,event,marriage,married,
gray_timothy,name,event,death,thus he fell gently &amp; happily asleep in the ,
shoesmith_thomas_alt,name,event,baptism,baptizd,
shoesmith_thomas_alt,name,event,religious,Meetings,
shoesmith_thomas_alt,name,event,reception,reciev'd,
shoesmith_thomas_alt,name,occupation,soldier,Soldier,
shoesmith_thomas_alt,name,occupation,soldier,Soldier,
shoesmith_thomas_alt,name,event,marriage,married,
shoesmith_thomas_alt,name,event,reception,acknowledged,
darnbrook_john,name,event,birth" when-iso="1720-06-20,born,
darnbrook_john,name,emotion,sufferings,Sufferings,
darnbrook_john,name,emotion,struck me,struck me,
darnbrook_john,name,emotion,despised,despised,
darnbrook_john,name,emotion,no peace to my heart,no Peace to my Heart,
darnbrook_john,name,emotion,displeased,displeased,
darnbrook_john,name,emotion,miserable course,miserable Course,
darnbrook_john,name,event,ecclesiastical,Easter,
darnbrook_john,name,emotion,no liking,no liking,
darnbrook_john,name,event,religious,great Astonishment,
darnbrook_john,name,emotion,sufferings,Sufferings,
darnbrook_john,name,emotion,wrought much on my mind,wrought much on my Mind,
darnbrook_john,name,emotion,so overcome,so overcome,
darnbrook_john,name,emotion,great love,great Love,
darnbrook_john,name,event,ecclesiastical,Preachings,
darnbrook_john,name,emotion,enjoy,enjoy,
darnbrook_john,name,emotion,like,like,
darnbrook_john,name,emotion,weary,weary,
darnbrook_john,name,emotion,shocking,shocking,
darnbrook_john,name,emotion,heartily,heartily,
darnbrook_john,name,emotion,great confidence,great confidence,
darnbrook_john,name,emotion,very unsettled,very unsettled,
darnbrook_john,name,emotion,afraid,afraid,
darnbrook_john,name,emotion,apprehension,Apprehension,
darnbrook_john,name,emotion,good wishes,good Wishes,
darnbrook_john,name,emotion,desired,desired,
darnbrook_john,name,emotion,very friendly,very friendly,
darnbrook_john,name,emotion,gentle,gentle,
darnbrook_john,name,emotion,so laid hold of,so laid hold of,
darnbrook_john,name,emotion,gladly,gladly,
darnbrook_john,name,emotion,objections,Objections,
darnbrook_john,name,emotion,suffered,suffered,
darnbrook_john,name,emotion,hearty and friendly,hearty &amp; friendly,
darnbrook_john,name,emotion,very agreeably,very agreeably,
darnbrook_john,name,emotion,very heavy,very heavy,
darnbrook_john,name,emotion,pleasure,Pleasure,
darnbrook_john,name,emotion,ease,Ease,
darnbrook_john,name,emotion,frights,Frights,
darnbrook_john,name,emotion,distress,Distress,
darnbrook_john,name,emotion,great hopes,great Hopes,
darnbrook_john,name,emotion,hope,Hope,
darnbrook_john,name,emotion,mercy,Mercy,
darnbrook_john,name,emotion,love,Love,
darnbrook_john,name,emotion,dear,dear,
darnbrook_john,name,emotion,enjoyed,enjoyed,
darnbrook_john,name,emotion,grace,Grace,
darnbrook_john,name,emotion,longing desire,longing desire,
darnbrook_john,name,emotion,desired,desired,
darnbrook_john,name,emotion,objection,objection,
darnbrook_john,name,emotion,so melted,so melted,
darnbrook_john,name,emotion,kind,kind,
darnbrook_john,name,event,reception" when-iso="1766-01-13,Reception into the ,
darnbrook_john,name,emotion,very happy track of grace,very happy Track of Grace,
darnbrook_john,name,emotion,very pleasant,very pleasant,
darnbrook_john,name,event,religious,Provincial Synod,
darnbrook_john,name,emotion,wished,wished,
darnbrook_john,name,emotion,dear,dear,
darnbrook_john,name,event,communion" when-iso="1767-05-23,holy Sacrament,
darnbrook_john,name,emotion,real grace,real Grace,
darnbrook_john,name,event,communion,holy Sacrament,
darnbrook_john,name,emotion,sufferings,Sufterings,
darnbrook_john,name,emotion,blessing,Blessing,
darnbrook_john,name,emotion,very blessed,very blessed,
darnbrook_john,name,event,religious,enjoyed,
darnbrook_john,name,emotion,little hopes,little Hopes,
darnbrook_john,name,emotion,very weighty,very weighty,
darnbrook_john,name,emotion,pleased,pleased,
darnbrook_john,name,emotion,dear,d,
darnbrook_john,name,emotion,mercy,Mercy,
darnbrook_john,name,emotion,wept very much,wept very much,
darnbrook_john,name,emotion,comforted,comforted,
darnbrook_john,name,emotion,complained,complained,
darnbrook_john,name,emotion,blessings,Blessings,
darnbrook_john,name,event,death" when-iso="1770-02-06,sweet ,
bell_christian,name,emotion,beloved,beloved,
bell_christian,name,emotion,dear,dear,
bell_christian,name,emotion,satisfaction,Satisfaction,
bell_christian,name,emotion,grace in his heart,Grace in his Heart,
bell_christian,name,emotion,happy,happy,
bell_christian,name,emotion,very openhearted,very openhearted,
bell_christian,name,event,reception" when-iso="1754-04-16,received into the ,
bell_christian,name,event,reception" when-iso="1762-09-29,he was rec'd into the ,
bell_christian,name,emotion,wished for,wished for,
bell_christian,name,emotion,love,love,
bell_christian,name,emotion,hurt,Hurt,
bell_christian,name,emotion,temptations,Temptations,
bell_christian,name,emotion,divided heart,divided Heart,
bell_christian,name,emotion,heavy and truly unhappy,heavy &amp; truly unhappy,
bell_christian,name,emotion,compassion,compassion,
bell_christian,name,emotion,wished,wished,
bell_christian,name,emotion,faithfulness,Faithfulness,
bell_christian,name,emotion,uneasiness of mind,uneasiness of Mind,
bell_christian,name,emotion,tender,tender,
bell_christian,name,emotion,beloved,beloved,
bell_christian,name,emotion,great concern,,
bell_christian,name,emotion,confidence,Confidence,
bell_christian,name,emotion,true grace,true Grace,
bell_christian,name,emotion,distress,Distress,
bell_christian,name,emotion,wept,wept,
bell_christian,name,event,spiritual,Comfort,
bell_christian,name,emotion,very openhearted,very openhearted,
bell_christian,name,emotion,forgiveness,forgiveness,
bell_christian,name,emotion,longing,longing,
bell_christian,name,emotion,happy,happy,
bell_christian,name,emotion,blessed,blessed,
bell_christian,name,emotion,sweet feeling of grace,,
bell_christian,name,emotion,sweet feeling of grace,feeling of Grace,
charlesworth_james,name,emotion,dear,d,
charlesworth_james,name,emotion,joy,Joy,
charlesworth_james,name,emotion,dear,dr,
charlesworth_james,name,event,birth" when-iso="1721-12-16,born,
charlesworth_james,name,emotion,remorse,Remorse,
charlesworth_james,name,emotion,mercy,Mercy,
charlesworth_james,name,emotion,pleasures,Pleasures,
charlesworth_james,name,emotion,wanted,wanted,
charlesworth_james,name,emotion,dear,dear,
charlesworth_james,name,emotion,misery,Misery,
charlesworth_james,name,emotion,happy,happy,
charlesworth_james,name,emotion,peace,peace,
charlesworth_james,name,event,reception" when-iso="1742-12-08,Reced into the Cong,
charlesworth_james,name,event,confirmation" when-iso="1743-12-21,Confirmd,
charlesworth_james,name,emotion,sufferings,sufferings,
charlesworth_james,name,emotion,blessed,bless'd,
charlesworth_james,name,office,mloff000019,employd in Preaching,
charlesworth_james,name,emotion,dear,,
charlesworth_james,name,emotion,dear,d,
charlesworth_james,name,emotion,suffered,suffer'd,
charlesworth_james,name,emotion,dear,dr.,
charlesworth_james,name,emotion,wonder and astonishment,wonder &amp; astonishmt,
charlesworth_james,name,emotion,surprising,Surprising,
charlesworth_james,name,emotion,love,love,
charlesworth_james,name,emotion,dear, ,
